222	222	1788
1	3	-0.1
1	4	-0.1
1	112	-2.5
1	113	-2.5
2	3	-0.1
2	7	-0.1
2	8	-0.1
2	114	-2.5
2	115	-2.5
3	1	-0.1
3	2	-0.1
3	4	-0.1
3	8	-0.1
3	9	-0.1
3	112	-2.5
3	115	-2.5
3	116	-2.5
4	1	-0.1
4	3	-0.1
4	5	-0.1
4	9	-0.1
4	10	-0.1
4	113	-2.5
4	116	-2.5
4	117	-2.5
5	4	-0.1
5	10	-0.1
5	11	-0.1
5	117	-2.5
5	118	-2.5
6	7	-0.1
6	14	-0.1
6	15	-0.1
6	119	-2.5
6	120	-2.5
7	2	-0.1
7	6	-0.1
7	8	-0.1
7	15	-0.1
7	16	-0.1
7	114	-2.5
7	120	-2.5
7	121	-2.5
8	2	-0.1
8	3	-0.1
8	7	-0.1
8	9	-0.1
8	16	-0.1
8	17	-0.1
8	115	-2.5
8	121	-2.5
8	122	-2.5
9	3	-0.1
9	4	-0.1
9	8	-0.1
9	10	-0.1
9	17	-0.1
9	18	-0.1
9	116	-2.5
9	122	-2.5
9	123	-2.5
10	4	-0.1
10	5	-0.1
10	9	-0.1
10	11	-0.1
10	18	-0.1
10	19	-0.1
10	117	-2.5
10	123	-2.5
10	124	-2.5
11	5	-0.1
11	10	-0.1
11	12	-0.1
11	19	-0.1
11	20	-0.1
11	118	-2.5
11	124	-2.5
11	125	-2.5
12	11	-0.1
12	20	-0.1
12	21	-0.1
12	125	-2.5
12	126	-2.5
13	14	-0.1
13	23	-0.1
13	24	-0.1
13	127	-2.5
13	128	-2.5
14	6	-0.1
14	13	-0.1
14	15	-0.1
14	24	-0.1
14	25	-0.1
14	119	-2.5
14	128	-2.5
14	129	-2.5
15	6	-0.1
15	7	-0.1
15	14	-0.1
15	16	-0.1
15	25	-0.1
15	26	-0.1
15	120	-2.5
15	129	-2.5
15	130	-2.5
16	7	-0.1
16	8	-0.1
16	15	-0.1
16	17	-0.1
16	26	-0.1
16	27	-0.1
16	121	-2.5
16	130	-2.5
16	131	-2.5
17	8	-0.1
17	9	-0.1
17	16	-0.1
17	18	-0.1
17	27	-0.1
17	28	-0.1
17	122	-2.5
17	131	-2.5
17	132	-2.5
18	9	-0.1
18	10	-0.1
18	17	-0.1
18	19	-0.1
18	28	-0.1
18	29	-0.1
18	123	-2.5
18	132	-2.5
18	133	-2.5
19	10	-0.1
19	11	-0.1
19	18	-0.1
19	20	-0.1
19	29	-0.1
19	30	-0.1
19	124	-2.5
19	133	-2.5
19	134	-2.5
20	11	-0.1
20	12	-0.1
20	19	-0.1
20	21	-0.1
20	30	-0.1
20	31	-0.1
20	125	-2.5
20	134	-2.5
20	135	-2.5
21	12	-0.1
21	20	-0.1
21	22	-0.1
21	31	-0.1
21	32	-0.1
21	126	-2.5
21	135	-2.5
21	136	-2.5
22	21	-0.1
22	32	-0.1
22	33	-0.1
22	136	-2.5
22	137	-2.5
23	13	-0.1
23	24	-0.1
23	34	-0.1
23	127	-2.5
23	138	-2.5
24	13	-0.1
24	14	-0.1
24	23	-0.1
24	25	-0.1
24	34	-0.1
24	35	-0.1
24	128	-2.5
24	138	-2.5
24	139	-2.5
25	14	-0.1
25	15	-0.1
25	24	-0.1
25	26	-0.1
25	35	-0.1
25	36	-0.1
25	129	-2.5
25	139	-2.5
25	140	-2.5
26	15	-0.1
26	16	-0.1
26	25	-0.1
26	27	-0.1
26	36	-0.1
26	37	-0.1
26	130	-2.5
26	140	-2.5
26	141	-2.5
27	16	-0.1
27	17	-0.1
27	26	-0.1
27	28	-0.1
27	37	-0.1
27	38	-0.1
27	131	-2.5
27	141	-2.5
27	142	-2.5
28	17	-0.1
28	18	-0.1
28	27	-0.1
28	29	-0.1
28	38	-0.1
28	39	-0.1
28	132	-2.5
28	142	-2.5
28	143	-2.5
29	18	-0.1
29	19	-0.1
29	28	-0.1
29	30	-0.1
29	39	-0.1
29	40	-0.1
29	133	-2.5
29	143	-2.5
29	144	-2.5
30	19	-0.1
30	20	-0.1
30	29	-0.1
30	31	-0.1
30	40	-0.1
30	41	-0.1
30	134	-2.5
30	144	-2.5
30	145	-2.5
31	20	-0.1
31	21	-0.1
31	30	-0.1
31	32	-0.1
31	41	-0.1
31	42	-0.1
31	135	-2.5
31	145	-2.5
31	146	-2.5
32	21	-0.1
32	22	-0.1
